ORDER_ID,ORDER_DATE,CUSTOMER_NAME,PRODUCT_NAME,CATEGORY,QUANTITY,UNIT_PRICE,LINE_REVENUE
O0001,2026-07-26,Naledi Ndlovu,Shampoo,Beauty,4,623.66,2494.64
O0002,2026-01-25,Zanele Mbeki,USB-C Cable,Electronics,4,151.71,606.84
O0003,2026-04-16,Pieter Coetzee,Sunglasses,Fashion,4,655.85,2623.40
O0004,2026-06-22,Johan Mahlangu,Wireless Earbuds,Electronics,1,585.66,585.66
O0005,2026-07-06,Thabo Van der Merwe,Backpack,Fashion,3,450.08,1350.24
O0006,2026-02-19,Naledi Naidoo,Desk Lamp,Home,2,88.05,176.10
O0007,2026-02-05,Ayanda Coetzee,Cap,Fashion,4,391.89,1567.56
O0008,2026-04-29,Aisha Fourie,Storage Box,Home,2,872.78,1745.56
O0009,2026-07-26,Michael Els,Cap,Fashion,5,391.89,1959.45
O0010,2026-06-16,Naledi Naidoo,Wireless Earbuds,Electronics,5,585.66,2928.30
O0011,2026-08-26,Zanele Nkosi,Power Bank,Electronics,2,357.65,715.30
O0012,2026-05-05,Nomvula Coetzee,Sunglasses,Fashion,4,655.85,2623.40
O0013,2026-08-20,Ayanda Mokoena,Backpack,Fashion,1,450.08,450.08
O0014,2026-01-01,Nomvula Coetzee,Backpack,Fashion,4,450.08,1800.32
O0015,2026-03-15,Naledi Coetzee,Cap,Fashion,4,391.89,1567.56
O0016,2026-06-19,Grace Van der Merwe,Perfume,Beauty,4,890.15,3560.60
O0017,2026-03-17,Zanele Van der Merwe,Throw Blanket,Home,2,739.05,1478.10
O0018,2026-07-08,Thabo Van der Merwe,Lip Balm,Beauty,5,1068.27,5341.35
O0019,2026-01-15,Thabo Van der Merwe,Sneakers,Fashion,1,155.49,155.49
O0020,2026-05-09,Chloe Nkosi,Shampoo,Beauty,5,623.66,3118.30
O0021,2026-09-03,Nomvula Coetzee,Wireless Earbuds,Electronics,5,585.66,2928.30
O0022,2026-01-18,David Fourie,Coffee Mug,Home,5,700.39,3501.95
O0023,2026-04-14,Michael Els,Desk Lamp,Home,1,88.05,88.05
O0024,2026-05-29,Zanele Mokoena,Desk Lamp,Home,5,88.05,440.25
O0025,2026-01-21,Sipho Els,Face Mask,Beauty,4,725.36,2901.44
O0026,2026-05-25,Karabo Nkosi,Lip Balm,Beauty,5,1068.27,5341.35
O0027,2026-02-22,Naledi Dlamini,Storage Box,Home,3,872.78,2618.34
O0028,2026-04-12,Naledi Ndlovu,Storage Box,Home,2,872.78,1745.56
O0029,2026-04-28,Karabo Nkosi,Kitchen Scale,Home,3,145.94,437.82
O0030,2026-01-03,David Mbeki,Power Bank,Electronics,4,357.65,1430.60
O0031,2026-01-26,Michael Els,Lip Balm,Beauty,1,1068.27,1068.27
O0032,2026-05-10,Ayanda Coetzee,Throw Blanket,Home,3,739.05,2217.15
O0033,2026-08-14,Kagiso Dlamini,Denim Jacket,Fashion,1,115.18,115.18
